id	asset_type	recommended_ratio	api_size_if_needed	prompt
SA-S1-001	Character	4:5	1024x1536	Sable Archive, Season One, The Court of Perfume and Dust, The Favored One, adult woman, quiet and dangerous, knowing gaze, half-turned toward the viewer, hand touching a translucent veil, black-and-gold silk, fine metallic ornaments, moonlit skin, carved arch shadows, incense haze, restrained luxury, strong sexual tension but non-explicit, cinematic medium close-up, highly authored, high detail
SA-S1-002	Character	4:5	1024x1536	Sable Archive, Season One, The Court of Perfume and Dust, The Favored One, same woman as SA-S1-001, adult woman, seated on a low stone divan, one knee raised, barefoot, veil slipping from one shoulder, calm authority, dangerous softness, black-and-gold fabric, lantern glow and moonlight, incense smoke, carved interior, cinematic three-quarter portrait, non-explicit sensuality, clear character continuity
SA-S1-003	Character	4:5	1024x1536	Sable Archive, Season One, The Court of Perfume and Dust, The Veiled Diplomat, adult woman, cold intelligence, elegant distance, unreadable expression, standing in profile beneath a high arch, layered dark veils, restrained gold accents, sealed document in hand, severe beauty, political presence, moonlit black-and-gold atmosphere, cinematic half-body portrait, minimal but expensive adornment
SA-S1-004	Character	4:5	1024x1536	Sable Archive, Season One, The Court of Perfume and Dust, The Veiled Diplomat, same woman as SA-S1-003, adult woman, turning away after reading a private message, lowered gaze, hand gathering her veil, controlled tension, strategic mind, dark silk layers, carved corridor, gold lamps, cool emotional tone, cinematic mid-shot, highly restrained, exact character continuity
SA-S1-005	Character	4:5	1024x1536	Sable Archive, Season One, The Court of Perfume and Dust, The Desert Huntress, adult woman, predatory grace, powerful body language, lean dangerous silhouette, standing against moonlit dunes near a ruined ceremonial gate, wind moving dark layered garments, sharp desert jewelry, hunter's stillness, watchful gaze, black bronze and muted gold palette, cinematic full-body portrait, non-explicit, unmistakably dangerous
SA-S1-006	Character	4:5	1024x1536	Sable Archive, Season One, The Court of Perfume and Dust, The Desert Huntress, same woman as SA-S1-005, adult woman, low poised stance on stone steps, turning her head back toward the viewer, veil moving in the wind, hand near a ceremonial blade or chain ornament, wild sensuality under strict control, moonlit dust, torchlight, carved shadows, cinematic medium shot, exact character continuity
SA-S1-007	Scene	16:9	1536x1024	Sable Archive, Season One, The Court of Perfume and Dust, exterior of the imperial archive at night, vast desert court architecture, towering carved arches, distant domes, moon above drifting sand, black sky, bronze lanterns, incense smoke from braziers, empty ceremonial road leading inward, luxurious but severe, no characters, strong negative space, cinematic wide shot, black-and-gold atmosphere
SA-S1-008	Scene	16:9	1536x1024	Sable Archive, Season One, The Court of Perfume and Dust, interior ceremonial terrace overlooking the desert, polished stone floor with subtle sigil patterns, high arches, hanging lamps, incense haze, moonlit horizon, private ritual and political seduction atmosphere, no characters, medium-wide cinematic composition, elegant central staging area, black-and-gold luxury, quiet danger
SA-S1-009	Object	1:1	1024x1024	Sable Archive, Season One, The Court of Perfume and Dust, imperial seal key relic, black-and-gold ceremonial object, part signet and part key, engraved crescent and eye motifs, resting on dark stone under a narrow beam of moonlight, faint incense smoke, precious and ominous, close-up still life, exquisite material detail, symbolic design tied to the archive identity
SA-S1-010	Object	1:1	1024x1024	Sable Archive, Season One, The Court of Perfume and Dust, noble woman's ritual incense vessel and veil ornament, dark silk, gold chain details, smoke curling upward, intimate still life composition, soft luxury with hidden danger, tactile materials, black-and-gold palette, low moonlight and warm ember glow, no human figure, cinematic close-up, elegant and memorable
